Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
143,Positive,first philly fourth july friends lives expectations heard will service minutes friends wit wiz will favorite long lead bread fresh cheese steaming drippin good experience philly bit parking spacious lot downpour feet walk fine ,first heard wit favorite bread ,1,1,1
423,Negative,really things experience table sat didnt attention us second ordered drinks asked water asked times drinks entrees came ordered guacamole came chips without give us chips dessert said chocolate place happy ,things table sat didnt us ,0,1,1
4,Positive,first odd fellows memorable name live bad tasteless name toast got someone east avenue high uncomplicated flare choose sandwiches salads pastries list mix bacon fussiness city hate foreign word suffice fare streamlined want still drunk stomach carb cheese meat mode morning midday meals toast center city ,first odd memorable name toast ,1,1,1
141,Negative,actually want give still overrated tourist trap many places cheesesteaks skills make much ass always counter snide racist food bad even close rubbery uneven chewy want something side ,actually want give overrated tourist ,1,0,1
17,Positive,time nai last time back times experience welcoming attentive server friendly even offered waiting table reservations luckily table times flamenco thursdays nights good last time food fairly good ordered small snail chicken goat decent taste food mentioned ,nai last experience welcoming friendly ,1,0,1
165,Negative,philly anyone likes place behind right wise steak pepper cheese plastic priced soggy bland food real let took new treat disappointed best far unknown broad leave guy rude ways real place else ,philly anyone place behind wise ,1,1,1
30,Positive,came group friends food size feel certain tapas serve bite plate charge dishes definitely recommend alioli oxtail chorizo toast egg cheese piquillo stuffed skirt steak nothing never paprika actual kinda sangria sangria tasted great especially pomegranate bill person price food loud performance lost voice talking ,size feel tapas dishes definitely ,0,1,1
112,Negative,thursday night brother visiting wanted hype philly cheesesteaks seen food network somewhere disappointed geno flashy geno cheesesteak composed bread slices steak far disappointing philly top horrible assumed businesses advertisement developed attitude less across photos want geno try instead coming see lights give excitement go instead ,visiting wanted hype philly cheesesteaks ,1,0,1
21,Positive,great evening first reservation see thursday saturday rustic clean looks authentic small wood world make old group tried plates pleased make large plates large deal go seconds say pitcher sangria short experience best part flamingo show thoroughly entertained dancers turned everyone feet awesome job much want shoes learn flaming place back ,great evening first reservation thursday ,1,0,1
319,Negative,fascination place also happy option weekday morning people waited minutes even menus glasses looked dirty silverware waited long period despite busy hour accept especially memorable particularly friendly place fact many diners ,place option people waited minutes ,1,1,0
