Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
254,Positive,food delicious people nice customers coffee fries snacks keep people food ordered rancheros looking spicy mixing bacon danish pancake freaking sweet fluffy normally eats sweets good remember cash expect regular near brooklyn right ,delicious nice fries snacks keep ,1,0,1
1018,Negative,group think even moved enough say start either enough serving food assistance cue vegetarian wife seated said enough pouring eat free hot dogs looking point fried instead salad meat rice think less average take restaurant come rice good eat rice low charts salad came come man spanish confirmed course everyone thing literally heard word one really nice ,group think even moved say ,1,0,1
610,Positive,say place made want two us set bar sitting bar long family table two started ordering scharas octopus ta afrata dianas krasata braised ah stop dinner pylos everyone plan take definitely night ,two set bar started octopus ,0,1,0
330,Negative,place ok twice first time sandwich go took forever gave benefit place opened today stopping jenifer studio pictures ordered ropa vieja arroz con gandules red yuca hubby ordered beans tostones food sides came times ropa vieja ran tres leche greasy ,place ok twice time sandwich ,1,0,1
49,Positive,wow walked enough table even turned one nights nai mix atmosphere great company great unique tapas plates decently cheap live dancing meal two great enjoyed octopus meatballs service comfortable music place chatty ,enough one nights nai mix ,0,1,1
782,Negative,meh say went lunch group sitting ordered summer steak steak salad bland bland corn dressing taste sat minutes empty glass water drinking almost half salad ,meh say group sitting ordered ,1,1,0
323,Positive,place throwback enough cultural long best creams bar none lemon ricotta place order pancakes place paste house flavored butters cinnamon mango real drooling soda jerk counter happy forced patio waits long weekend offering coffee oranges bad sat waiting service new york restaurants never offer thing cold fish open sunday makes think got secret love will one hypertension ,enough best bar lemon ricotta ,1,0,1
178,Negative,star lets find cant believe reviewing shithole first never go thing never forget invented cheese steak opened across pats genos always og better plus burn fucking way genos people english sure always forefathers didnt jersey ass live live tourists countries deal place cheese steak lousy anywhere mexican food hope keep visiting copycat one star ,star lets cant believe go ,1,0,1
114,Positive,trip philly places course went will say right favorite signs lights fancy fun care busy dont wait went onions whiz bit super juicy full onions nice lacking mostly flavor damn ,trip course went right favorite ,1,1,0
164,Negative,place go cheesesteak went weeks baby pwweeeaaase tastes really taste want go touristy pay hefty buck something television advertise famous steak though plus worthy though also refusal serve speak ,place go cheesesteak tastes taste ,1,1,0
258,Positive,always restaurant inside today girls decided little popular location line moved steady pace customers free served waited table french horseradish sauce samples especially horseradish kick cognizant wait line best seat serve customers outdoors space preferred enough group near door waiting line bit diner versus old clips photos years expect mimosas music either menu order lunch day french cream strawberries definitely sweet first meal day stopped neighborhood cheap meal way atm transaction fee pay ,always restaurant girls little location ,0,1,1
1041,Negative,terrible restaurants ever takes handed everything looked discussed waited waited someone order waitress came calamar fritto ages table ever must taken table decent good time took seriously calamari restaurant far house extra bonus waiting saw apologizing another table taking ordeal wanted earth waitress disappeared found table walk upstairs hostess tell waitress missing check waited least minutes hostess returned table brought check waitress finish job utterly survive service kitchen back ,terrible restaurants ever takes looked ,1,0,1
41,Positive,really stars say place bit staples done quite excellent price realize supposed now really great love unconventional stuff incredibly well executed highly see relatively short arrived kitchen sat night reasonable table available us minutes nascar crew tell dishes yet made selection including go style will coming stuff ,really bit done quite excellent ,1,1,0
160,Negative,give stars cause witness act human kindness often spots pay couple paid wow see city brotherly love hearing getting neither min wait cheesesteak fun people got food accross street trying use dispenser ,give stars cause often pay ,0,1,0
13,Positive,best restaurant best authentic chinese state staff knowledgeable helpful chef rolls always tell good neat rolls artful interested ct honestly formosa looking purely chinese might marketed fusion need order food forever addicted restaurant class want suggestions particular happy share many discuss review ,best restaurant authentic chinese helpful ,1,0,1
1358,Negative,really think least left going back seconds think anytime rich literally left drinking going bed measure corn even though served somehow things textures served cold bleh also fish good interesting heavily salted desert completely forgettable think pie sort meh ,think least left going back ,0,1,0
505,Positive,start things love swinging chairs dozen better eggrolls seared tuna teriyake filet chicken wraps bbq quesadilla rad mac na lettuce wraps korean pork needed little average however consider appetizers best use orzo good loved continental dishes one atlantic city overall dine ,love swinging chairs tuna wraps ,1,1,0
