Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
254,Positive,food delicious people nice customers coffee fries snacks keep people food ordered rancheros looking spicy mixing bacon danish pancake freaking sweet fluffy normally eats sweets good remember cash expect regular near brooklyn right ,delicious nice fries snacks keep ,1,1,1
182,Negative,first steak today due onions onions thing redeeming experience commented neon lights xenophobia cheesesteak impression sandwich really small extra meat one distinct underwhelmed need impression ,steak today due onions neon ,0,1,1
305,Positive,little gem reasons got amidst heat real line wait table waitress came food cold water got done believe thats done neighborhood favorite pancakes blueberries side turkey friggin gooey perfect sweet batter sour perfectly sweet potato girlfriend cheddar grits mayonnaise hit spot according contains neither cream whoda wonderfully special find look cant wait ,little gem reasons line done ,1,0,1
319,Negative,fascination place also happy option weekday morning people waited minutes even menus glasses looked dirty silverware waited long period despite busy hour accept especially memorable particularly friendly place fact many diners ,place option people waited minutes ,1,0,1
41,Positive,really stars say place bit staples done quite excellent price realize supposed now really great love unconventional stuff incredibly well executed highly see relatively short arrived kitchen sat night reasonable table available us minutes nascar crew tell dishes yet made selection including go style will coming stuff ,really bit done quite excellent ,1,1,0
185,Negative,eh cheese pretend local cheese steaks deli place ruins nice corner yay lights framed pictures maybe oh aura signs read likes america beloved police officer died foreigner street class better food service line great haha irony ,cheese steaks deli place corner ,1,1,0
15,Positive,went made reservation pm thursday night one got us running late seated ordered blueberry tasted fruity cost proceeded tapas plates split waiter food ordering dishes shrimp sauce ahhh sauce garlic aioli cheese loved comfort dish dishes overly overall great meal left go back another highly ,went reservation thursday night one ,0,1,1
137,Negative,excited finally time try steaks one two heard many times great many go blah blah fail dry onions raw annoying onion got brushed teeth ur tasted better nyc fooled hype lights made way order make better soft steak chopped onions peppers cheese regular less ladies ,excited finally time steaks many ,1,0,1
13,Positive,best restaurant best authentic chinese state staff knowledgeable helpful chef rolls always tell good neat rolls artful interested ct honestly formosa looking purely chinese might marketed fusion need order food forever addicted restaurant class want suggestions particular happy share many discuss review ,best restaurant authentic chinese helpful ,1,0,1
113,Negative,straight please food booty fries kinda real frozen taste away cheesesteak needed way needed came waited minutes believe overhyped bad sure counter press english press deportation sign saying order english really overlooked even know throw suppose will never ,please food real taste away ,1,1,0
24,Positive,nai tapas great centrally perfect large groups came night birthday friend restaurant suggested fixed person dinner pitchers sangria tapas food crowd low even village easily local ah brim yet eating dishes menu portions served group plus gambas sauce bacalao lightly fried fresh fish soft butter dipping sauce tasty croquetas de pollo chicken croquetas tortilla espanola spanish omelette least fave mild patatas house tomato sauce tasty alioli potatoes creamy alioli sauce bomb charrasco steak awesome dish tender meatballs brandy chorizo sausage tasty definitely shrimp least fave good potato based felt pitchers kept though honestly room birthday one brought dessert helpful bringing cake cut us didnt stay flamenco karaoke rose towards hour dinner small flamenco salsa music fun will definitely excellent try heard hidden glad introduced ,nai tapas great perfect large ,1,1,0
117,Negative,moving pa personal philly cheesesteaks many go forced friends road trip sole cheesesteaks cold winter night unaware hour change arrived quickly order prepared know lingo will attitude got cheesesteak wiz personally think bad definitely think company definitely think worth found overpriced aware good philly area probably go peace cheesesteak grease ,moving philly cheesesteaks many go ,1,0,1
