Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
114,Positive,little pitt decided even pernil cuts came coffee side pork beans rice rice overly seasoned splash sauce oohhh food lively ,little decided pernil came coffee ,
36,Negative,want much gristle looks las go underwhelming assume fame lights rivalry whole italian go ,want much looks go underwhelming ,
11,Positive,dinner unable make skirt virgin olive fried goat braised tail pitcher sangria make table place tight weekends wait ,dinner fried braised pitcher sangria ,
29,Negative,past definitely missing cheesesteak oil oil onto negative feel robbed coming ,past cheesesteak oil onto ,
2,Positive,place came open little time great efficient werent stay lattes meals vegetarian loved side downer portion side friend side ambiance watching though smaller didnt ,place came open little time ,
41,Negative,land transfatia people cheese speaking words reflection filthy seems people demographic seem speak spend surprise service rude people sandwich overpriced cheese decor looks upon tacky diarrhea stuff look square south pictures bad see around ,words reflection speak spend rude ,
8,Positive,one quietest food states nation say food visited many sub lettuce pepper salt taste buds corner also deli franchise really dine tasted watery staff interactive ,sub also really watery ,
15,Negative,came recommendation coworker raving time ordered say expectations knew deliver edible suppose one disgusting best tasted highlight adventurous tiny baguette slices tinier fingers bad anything thing potato dish remember pepper stuffed menu two pepper server instead cod stuffing creamy liked mashed potatoes cheesy tasting insisted whatever another bf tasted taste peppers waitress said favorite cheated good doubt back las ramblas ,recommendation ordered say expectations knew ,
0,Positive,many things first draw done really plenty space sit huge perfect ambience responsive absolutely nothing complain around also quick ,really plenty space perfect absolutely ,
37,Negative,rushed long long paid hour smiles looks feel hourly even treated ,rushed paid hour looks even ,
12,Positive,went two place tucked ave going gambas ajillo anytime rest meal enjoyable pitcher sangria close prices reasonable area date ,place enjoyable pitcher sangria close ,
30,Negative,everyone live philadelphia real always nasty steaks best cheesesteaks philly will ,everyone live real always steaks ,
14,Positive,something put experience new tapas thought try low seating back ,new tapas try low seating ,
3,Negative,well pigging enough ruin food will frozen people used better edible ,food will better edible ,
23,Positive,food raul fantastic sure gets loud intimate convo spot nai spot ,fantastic loud intimate ,
64,Negative,feedback given disappointing going bit think one line much shorter one really ,given disappointing going one much ,
4,Positive,yet fair thursday forward quesidillas tasty food watch going restaurant week ,yet fair forward tasty ,
1,Negative,ok goat tomato spinach omelet actually hummus expensive pretty whole fine wrong plain though clearly capable ,ok goat spinach hummus whole ,
20,Positive,delicious sangria great place brought free rest set overall quick bite restaurant ,delicious sangria great place set ,
40,Negative,hour come famous almost pretty beefier worth price big fast ,hour famous almost worth price ,
