Review_ID,Class,Text,Label
1172,Negative,ok yelpers let say biggest incredibly town food building speaks ribeye given never recommend 
489,Positive,find two friends matador away effing waiter plate plate snausages tender sweet world sauce dip garlic comes laugh lucky twenty humble opinion 
518,Positive,us cafe gitan fave brunch spots food michael cozy comfy wallpaper mixed lamps split arugula parm lemon fairly flavor glad dishes favorite peppery around twists whole version 
597,Positive,spy occasions seated extremely pleasant helpful engaged soon go along squid absolutely chicken talking futile particular locally fairly anything palate addition placed duck fantastic marvelous fantastic food helpful 
531,Positive,word old bad small number tables amateur looking hanging big pieces butcher paper back couple soup dollar vanish oh got chunk bread cup soup done sure leave know cold ear inn 
716,Positive,place yes brutal waited hours sooooo really ridiculous go big group pancakes da blueberry pancakes perfect soft bacon sugar unlike else biscuits bit hard love place 
688,Positive,introduced restaurant quite arrived ordered walnut well biscuits raspberry service return plastic 
502,Positive,everyone will impressed ask first crowded trendy recommend matador combo green dessert still pio great one jackson heights 
1613,Negative,give place decent come think owners order stains pet appears dirty dimsum great around lot oily place hit miss depends order 
632,Positive,go want tucked away tavern local bar equally ordered food local craft burger perfectly wish room note took place downstairs food family place gayborhood 
653,Negative,flay cursed point ordering sidewalk regular blueberry instead make types one higher orders constantly next line pancakes got years better make pancake good sometimes food pop 
582,Positive,company able right outside fresh mozzarella cheese testament cooking heading corner gem time tuesday pants company bit wait pooches 
552,Negative,beautiful shame going female crabs disgusting cold crabs took eat hey experience looking forward every time day come shape sad ambiance sick 
485,Positive,great money portion sizes short job interesting franc island vineyard service prompt 
1188,Negative,recommend anyone excited japanese food reading star yelp reviews restaurant request got favorite japanese scotch place shaves ice scotch rocks waitress responsive brought dish time dessert appalled night wagyu tasted standard ny strip waste something made home asian cast pre going soba seared proper couches spilled constantly comfortably especially took birthday expected ended tell hype wrapped around looking amazing goes bouley way 
534,Positive,love well probably eat also wish salad especially orders think since really 
1033,Negative,eats west hartford unfortunately average diner trips times open diner decker sandwiches also 
595,Positive,quaint street ordered pulled fries nicely mushiness experienced places standards still really dessert 
576,Negative,service friend third sit merely us short say works even wanted order let service lacked entire meal although vegetable best thing place came friend charged tip even seemed know cards left good meals will never go back 
548,Negative,telling red eating entered flights stairs level feeling square head nautical seek uneasily shipped jersey add might great hard look bucket towel roll table overpriced park train go 
426,Positive,easily one place deserve prime dutch blue sushi grab wait husband menu rotate time everyone think give years keep mind lot absolutely delicious particuarly adds kick much way favorite go bit couple delish delicious perfectly beat marrow chicken good light forget awhile realizing shrimp provencal creamy yum 
698,Positive,want trust hype noon saturday brunch seated pricey items everyone think delish fluffiness favorite bacon perfected amount sweetness complements grits coffee think joint upon 
623,Positive,terrific il pittore definitely great service fabulous relatively small dishes highly recommend quiet evening simple food front 
655,Negative,delicious however walk capoeira also hang desert next outside based taking gave different wait time around seemed think observed seated waiting left 
503,Positive,hands experience time saltado tender beef sautã tomatoes sauce white rice tres leches pio never good 
