Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
338,Positive,came seven year hiatus loved went years ago memory going closed open evening hours sunday excited yeah maternity leave schedule check botanic tuesdays brains cheese side say really mean nice stowing annoyingly highchair thing though time built anyway wicked nevertheless goes challah french dear love cbft love fresh ft dry kind fresh good news pumpkin walnut waffle really little course please waffle lot bigger french also rickey think order next go love wicked nice also now know going lunch annoyingly surprised us room closed still give even order ,seven year loved went ago ,1
333,Negative,working decor industry years know see sometimes real thing place styled look vintage people buy image droves flock keep going still lived place really wanted quaint quirky character vintage kitschy decor inside essence lots treat kitchy plastic flowers pictures forever effort offer classic egg policy feeling skool enviroment kind menu yes diner hoped world cooking style delicious flavor find waiting hipsters reason menu finding thing especially breakfast average eggs nothing better typical spoon foodie go million neighborhood places way better food cafe believe admitted cuz blueberry time crabcakes defrosted box microwaved typical diner fare ask specifically time big deal rude fruit since menu seemed request thing though diner diner even par salads grew diner city officially judge fully accepting limitations rights say everything either ok beef mood blah even superior whatever everyday pointsettias written well afraid hater damnit ,years know see real thing ,0
31,Positive,yummyyyy tapas pitchers sangria else succulent intense briney typically cooked order servings actually ended taking mussels bread dipping broth definitely something time visit pieces sauce escargot absolutely divine totally garlic plate pairing garlic bread definitely worth order ham croquettes higher level sticks better ham delicious cheese goat serrano tomato definitely plate whole evening fan goat combination ham tomato helped cut cheese flavor fan goat cheese dish try first carmalized onions cut spiciness chorizo taste paired basket chorizo perfect definitely another order next chorizo fried potato dish pieces even though fried potato starch something pass something home make patatas potato squares drizzle worth ordering patatas starchy element also garlic sauce best dishes night us around garlic sauce mouth right amount hits little paired winner definitely meatballs meatballs meatballs friend commented meatballs awful order another ordered mango mango one wine vaguely sweet touch slices mistaking blueberry really definitely hints feeling fizz probably dessert venieros street hilarious us ton gave us little jar belize little tried today fried chicken actually going hunt jar fried find never since never fill also bread total ended sangria come try tapas dishes fyi back happy ,tapas pitchers sangria succulent typically ,1
405,Negative,cuba first pretty dinner one best ever tried fast pretty except old mint lot mint flakes appetizer actual squid using anything empanada main disappointing pollo soul de cuba dry salsa inedible redeeming item meal la cubana pan fried snapper fresh remotely unappetizing shade leches really whole meal incredibly disappointing sure restaurant seafood ,actual anything disappointing dry salsa ,1
14,Positive,second last time went years staff attentive times uno offered table even making reservations thursday live flamenco nights remember time good ordered bunch small plates ranging shrimp goat pretty taste go back food mentioned ,went staff attentive times reservations ,0
897,Negative,customer dinner waterfront night creeme stand season customer took dive starters small creemes said taxes paid stand said yet taxes percent go figure moments back know sure math take refund letting know paying customer wrong bad find creeme clear though charged dollar principle managers staff break location loyalty meaning ,stand took dive said go ,0
262,Positive,came sunday morning around brunch short entrance soon got someone offered us cool minutes later us cookies minutes someone came offering fries try omg fries whatever going order wait long table part mexican omelet french instead fries ok good best sauce really good take pancakes regular nothing special got rickey cherry soda different butters talked different lot pretty quick long moves quickly definitely come back sign coney give ,sunday brunch entrance try omg ,0
74,Negative,place full ethnically political immigrants even bring cheesesteak tasted steaks goodl back place years ago wanted street point never tried friends steaks first place walk waited line friends extremely prejudiced signs philadelphia establishment face working seemed rude across picked upside offensive signs steaks great south st prince classic want good cheesesteak much delicious supporting ,place even cheesesteak tasted steaks ,0
290,Positive,husband got came lemon ricotta pastrami nearby table changed mind flavorful tender eggs fries husband got eggs table eggs cheese delicious definitely friends forget plan ahead ,lemon nearby flavorful tender delicious ,1
70,Negative,philadelphian want good cheesesteak go genos greasy within rude two cliche go pats steaks better true know corner shops fan steaks brandywine pizza garden tony south good city steaks montco via steaks ,want cheesesteak go genos within ,0
226,Positive,still best rican york adela still thing great recent rico sets dinner kitchen pr always whatever order beverage refreshing eat among nice family bendiciones reina todo de la ,still best york great recent ,1
130,Negative,stars well even better know places flavorless disappointed thought two steak giants serve flavorless let suggest spices bring flavor party bet make times either places hype ,stars even better know places ,0
78,Positive,first new many debate best philly one thing love given new one might closed especially given fact staff cheesesteak neon adorning landmark tend differ depending hit peak time line wrapped partway around system serving cheesesteaks helps line move took us upon arriving stickers posted illustrating ordering contempt un establishment order specific stating simply type cheese wit thats bother mushrooms silly true cheesesteak however food exceptionally welcoming built promptly major detractor also place card hand variety separate going prices cheap cheese cup eat coating cheese time tell sure hunger anticipation great getting whiz without one love steaks offer cheese restaurants offer cheese nice little heavier cheese bread meat really although usually onions makes work well cheesesteak grill hardly grilled crunch cheesesteak using nice sliced ribeye pieces fat juice flavor bread cheesesteak cheesesteak delivered rolls use thick roll firm cheesesteak sandwich together cheese terrific bread everyone favorite cheesesteak king steaks said philly cheesesteak joints future cheese cost ,first new best one love ,1
183,Negative,first today gave onions really good onions thing experience already neon lights xenophobia focus impression sandwich maybe hungry second meat terrible one frozen ums distinct lack underwhelmed impression ,onions thing experience neon focus ,1
28,Positive,minute friday night dinner reservation see nai still went service food service absolutely several times never friendly great recommendations checked regularly encouraged us try flavor yes pleasee even offered replace liking food meatballs bomb croquettes flavorful definitely recommend steak patatas bravas bit potato big alioli instead stood ed particular experience seating ambiance warm friendly anyone larger group dinners ,night dinner reservation nai still ,0
137,Negative,everyone else actually cheesesteaks wayyy priced everyone talks idiot times sure ordered pissed racist issues world stances political subjects signs popular america order english care stick good selling priced cheesesteaks douchebags ,else actually cheesesteaks sure ordered ,0
25,Positive,wow tip go table area flamenco place stars otherhand measly wah think favorite olive flamenco worth boyfriend took table second extremely reservations seated towards kind party people accomodate reservations got seated behind another table perfectly end matter restaurant spoke oceans hands elegantly endlessly night flamenco casted feet beat twisted around tapas yelp said couple pitches good servic really understood got octopus dish empanadas seemingly pretty terrible used something flamenco easy overlook bad food know food ultimate power dinner better food come nai tapas show lots sangria experience awesome ,area flamenco favorite olive reservations ,1
