Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
23,Positive,place must thursday night bring date rincon wife son daughter two table electric traditional dancing atmosphere now waiter huge help group tapas selected octopus sardines ham cheese stuffed olives julio upset two best sellers garlic sauce churrasco quail egg brought red sangria dinner sherry plenty table reservation next time ,must thursday night bring date ,0
120,Negative,review much say put top seemed bit side will others less cheesesteak much rather part seem much flavor overall eating already made going try cheesesteak ,review much top seemed others ,0
14,Positive,second last time went years staff attentive times uno offered table even making reservations thursday live flamenco nights remember time good ordered bunch small plates ranging shrimp goat pretty taste go back food mentioned ,went staff attentive times reservations ,0
110,Negative,always see tv really wanted eat philly cheesesteak got compare far tourist liberty hall one apparently mentioned live reputation gave one hard bag rejected told go one fries line patience know order right preferred husband cheesesteak one bread old meat little real good though got sandwich texture although pretty skimpy husband got melted go street blocks liberty bell also cheaper go recommend ,see wanted eat philly cheesesteak ,0
22,Positive,friends birthday dinner around say wandered aimlessly minute well service amazing unueo prounounced card top funny jokes impeccable attentive extra attention birthday big sangria cake guy nothing short awesome sir food mon options choose flavor sangria well mango flavored one mango perfect sweet strong girls two enough tapas two tapas size regular sizes lot somehow managed version sauce sauce amazing take sauce mussels ate thing bread soaked garlic sauce loved friend believe garlic sauce oxtail juicy def point enjoy oxtail nice cozy spot music fridays best avoid planning talk lot ,friends birthday dinner say well ,1
127,Negative,friend traditional bit noon bad spot block much line got already forming decor pretty say got food seconds pretty racist signs place putting really reconsider reading signs really go back english press deporation really patriotism cross incredibly far ordered cheese fries coke american cheese onions ordering bit confusing different cheesesteak one move window fries pay prettttty slices onions ish really well roll looked wet one actually grease napkins went napkins felt digestible however tasty cheesefries fries bad whiz top bottom fries stuck together back another friend visiting wanted right across street really go overpriced signs really putting ,friend bad block much got ,0
57,Positive,pats genos better personally used great read cheaped customer service surprisingly genos tourist sightseeing know go great steaks even seek second creepin nearly allow one ,pats great customer surprisingly one ,0
76,Negative,tourist trap says tony inflammatory vomit darling merica think cheesesteak someone surname wreaks steerage countries digress things getting cheesesteak corner bodega soulless wage job self satisfied tony ventos authentic scarfing steak made steakums mom bought sale getting cheese bucks short break guy merica idiots think paying line places never wanted put steak authentic grew subhumans serve rude line ,tourist trap says tony think ,0
168,Positive,think better meat tender tastes better say whiz melty starting taco bell melt sandwiches fast cheese goes bun little ask melt next time ground next one killed line duty though people actually nice think funny though classic classics gotta ,tender say starting melt fast ,0
80,Negative,food ordered popular cheese whiz beef tougher street rival tough cheese service order cheesesteak first drinks second know food time find location corner better much come tell definitely trap ,food ordered popular cheese whiz ,0
15,Positive,time trying definitely last waiter helpful offered nice food got churrasco caracoles pelotillas de queso de cabra fried cheese delicious got try favorite skirt steak sauce tasty drinks good come big glass sangria good enough expensive good food come ,definitely helpful churrasco de delicious ,1
102,Negative,philly fair share philly years personally true native philadelphians big pats tourist area steaks tasting mention pieces big add meat since food channels think rude comments speak taken shake tourist countries steaks across place racist way show honor country needless say typically prefer philly steaks philly will trap overall food good ,philly share years tourist steaks ,0
35,Positive,birthday ppl professional super easygoing friendly guy special day special came night made reservation confirmed nice call tapas great potato flavored highly recommend garlic tapas dish much white asapagus dish quite bland baby quite nice entertaining watch birthday girl yes surprise forget mango delicious sangria townnn heck two pitchers every savory good gave buzz ,birthday professional super friendly special ,1
