Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3,Label4,Label5,Label6,Label7
282,Positive,twice really tad crowded nonetheless worth food first came got pancakes try dishes amazing large give three home finish got bacon course eat breakfast preference bacon soft love area impossible end block passed first eyes come try priced meals good service make effort ,try dishes amazing large home ,1,0,0,0,0,1,0
2460,Negative,simultaneously reviewing catch literary anyway recently consider iditarod journey dubbed thai city throw qualifiers bound hour wait fine expected wait seeing luckily owners anticipate extended waiting room across set place two hand hand pains long wait partly later purgatory lounge first people able snag seat bar aside go annoyed people camping tables pok pok clearly busy selection menu also order point mention wings good bad deal considering potion size given owners going arrangement works got restaurant point people wait list people place mind set earlier bit wait begin review actual six first food bulk rating comes pok experienced along rice even trying names great favorite sauce particular flavor kept ate fan soup crispy soup collection meat bone dried places mentioned good great dishes disliked borderline blew enjoyment belly reduced addition sticky overpowering tough nothing combination dishes eating salt vinegar potato chips fine much renditions elsewhere mortar likewise service server ordered one dish one rice noodle worse us start small tapas meal needless dishes ended way food kudos finally biggest explanation salesmanship toward meal around restaurant strangely everyone opening bits hours service place dies case apparently server informed actually two wsl waiting drinks otherwise point empty hour time good poorly ruined mobs shame ,catch recently consider city throw ,0,0,1,0,1,0,0
259,Positive,adela dirty bird rotisserie portion rice black beans puerto rican mom make puerto rican mom owned rotisserie oven crispy amazingly seasoned alphabet city worth homey filling stomach soul new needs good tap water knows place newb ,bird portion rice puerto rican ,0,0,1,0,1,0,0
2149,Negative,believe star experience lower average star restaurant tiny ok size place original special reading categorization american great much ginger felt root sliced believe ate scallop boyfriend shared pizza also portobello mushroom cheese hot mustard ginger dominated dish pork buns best courage trying meal portions regular portion plus glasses way overpriced understand people time failed ,star lower average tiny ok ,1,1,1,1,1,1,1
409,Positive,pollo ropa come large enough will leftovers bring home plantains come consistently fantastic pretty good good enough order respectable giving higher rating meals say somewhere seven dollars higher flavor place small much prices bit expectations drinks also maybe two three tables want sit high tops good place better recommend ,pollo large bring home plantains ,0,0,1,0,1,0,0
3586,Negative,went friday somewhat strange start maitre telling us let us waiting hour sweating realized good popularity hour eat overcooked galore dry lamb shank tender bone chicken dry bland pappardelle seafood canned tomato sauce even pappardelle overcooked beso folks place good lunch go write hunt decent food hunt bad ,went friday strange telling us ,0,0,0,0,0,0,0
61,Positive,im hot late town friends mins late time gave totally head didnt best visibly even gave face managed us wow beyond appreciated much us even though didnt veryyyy croquettes sangria couldve show great iglesias venegas manu overall recommend especially sh ,town friends didnt best managed ,1,1,1,1,1,1,1
1583,Negative,tuesday dinner empty hyped service okay biscuits hard rock got avocado pancakes raw lemon dressing way raw worth never blueberry pancakes burnt cat panckaes box bisquick come back ,tuesday empty hyped service okay ,1,0,0,0,0,1,0
130,Positive,website impressed marketing thought attractive bright color patches polices country simpler limited got geno loved order english ordering ignorant cheesesteak better job keeping clean slices steak use slices example american cheesesteak liked nice bits pieces cheese dislikes onions softer service bright cheerful place eat invested ,color country limited loved keeping ,1,1,1,1,1,1,1
145,Negative,listened yelpers food feud went pats probably enjoyed cheesesteak reading geno geno won bread fresh meat skimpy greasy packs yelper pointed tourist city will makes philly ,food went pats probably cheesesteak ,1,1,1,1,1,1,1
306,Positive,lot share share seen scary outside experience wednesday indeed order recommended include lemon cherry never anywhere sucker lemon anything wonderful disappoint good even syrup provide make things well chefery rather tasty imagine actual alcohol side actually went wrong well atmosphere geez still kinda classic side room since tourists us space gf walking kinda since sat one thing eh fault family six four young yelling ear dining experience know please act guess food good decent good spot means ready give good treated ,share experience wednesday indeed recommended ,1,1,1,1,1,1,1
486,Negative,two reasons business dartmouth starving student open late upper valley starters horrible tastes exactly pizza chuckie cheese gummy cheese cardboard without character demographic fits bill otherwise pass best thing ebas used enjoy play locally stoner delivery song ,two business starving open late ,1,1,1,1,1,1,1
177,Positive,deciding powerhouses makes sense people favor one tried first order unbiased possible going hoagie first favor hoagie since one ate hungry well fault clean atmosphere first walked years since remember favoring meat meat though thought cheese better know perhaps judge steak hey first shall hold philadelphia try first even see blow cheese steaks water next time try well wiz baby wiz ,makes tried going well fault ,0,0,0,0,0,0,0
237,Negative,came tonight grab late night dead people bartender even acknowledge existence finally strolled ask wanted close last call fairly expected considering people seated left alright place grab beer destination place make go partial ,came late night people bartender ,0,0,0,0,0,0,0
236,Positive,thanks busy erin express wait single restroom busy drinks also blue cheese ever bar fries tiny allure stop hope come regardless west apartment crowd also ,thanks restroom drinks also blue ,0,0,0,0,0,0,0
1177,Negative,update plum stars star recently parents plum door couple open staff stated please keep mind going door though jelly asked response plum weekend menu delicious menu appears change monthly went loved hangover multigrain bread side husband hash yummy fruit fresh toast plum jam father toast price litlte dinner cheaper ambiance trailer old seats little complaints ,plum stars star recently door ,0,0,0,0,0,0,0
361,Positive,visited location good similar taste food mom shop sit grab bite workers place clean nice food amazing deucey chicken fingers fries cheese roll sandwich sloppy basically loves food place great good fat ,location good taste mom bite ,1,1,1,1,1,1,1
134,Negative,going corner lets straight places region service use final ante subtract star genos make neighborhood one really sure thing became well will notice positive reviews sort mission ,lets places service use star ,1,1,1,1,1,1,1
202,Positive,best green hands shrimp huge much mind upgrade salad said award winning fresh tang tom yum also oil control rolls little side none less will loyal customer fan wanted try curry rice pad green order ,best huge salad fresh tang ,1,1,1,1,1,1,1
185,Negative,normal circumstances near since sarah whole philly things lots fobby camera action cheesesteaks min line entertaining old celeb anit immigrant patriotism letters quite disappointed shame britney dining importantly sarah meat ,since whole philly cheesesteaks min ,0,0,0,0,0,0,0
219,Positive,final inconsistency convinced place perfect longer went today got using grass fed sunny egg now sunny side fried eggs yolk cooked goodness burger burgers different cook might sound weird placers cheese aioli even oh potatoes beer list great said past beer ask works pair something great looking somewhere eat wont let ,inconsistency perfect using sunny egg ,0,0,0,0,0,0,0
874,Negative,dog sadly right watching warner cartoons daffy duck decide parachute always cartoons pancakes nothing one stand great bad sometimes actually fact great thou little old restaurant ownership reasonably heartfelt emphasis place general restaurants dog story best read elsewhere place decline quality food along shift emphasis brunch think still quite used town now might still owned buying put good moment ,sadly right watching duck pancakes ,1,1,1,1,1,1,1
31,Positive,awesome food great service centrally located perfect groups came last one made restaurant suggested fixed person ask great place pretty tapas overly romantic fancy food low key village feel local food ah mazing eating dishes us menu served al shrimp garlic sauce favorite dish bacalao fried sauce tasty croquetas chicken croquetas de serrano good traditional probably least fave mild patatas potatoes coated spicy sauce tasty alioli potatoes garlic alioli bomb charrasco awesome dish meat albondiguillas sauce chorizo la plancha spanish tasty wow ate fave definitely shrimp croquettas least fave tortilla espanola though potato felt sangria pitchers coming dessert though honestly birthday group gluten brought helpful cut us stay live way sing karaoke planet towards last hour dinner live flamenco will definitely excellent wait try menu never heard gem glad introduced ,awesome great located perfect groups ,1,1,1,1,1,1,1
434,Negative,committing grain review tavern always mean packed small bar difficult finding one effort accomodate everyone smokey time well may swear mood standard bar pie sauce sweet antipasto salad rigatoni pretty good large also offer delicious features half pound slabs pork roll onions mustard yummy staff sometimes slow due large going now past years family really enjoys fact still meet every tuesday night quite solely give lot desired ever expands less surely enjoy food pretty good knows may link website jojostavern ,review mean one effort everyone ,1,0,0,0,0,1,0
241,Positive,always search good dog jordans new st hot dog joint wish dogs burgers mac burgers turkey try chili cook wife mac drinks cream lunch good ,always search good dog new ,1,1,1,1,1,1,1
164,Negative,neon err matter direction right see glare signage place obviously famous obviously full obviously inferior option take grill next time see pounds pre bread big comparatively also tastes much options hot available stand hot speak good language delivery downright really need want open need steak ,neon right see place obviously ,0,0,0,0,0,0,0
55,Positive,awesome tapas sangria legit priced ordered estofadas meatballs chorizo la plancha spanish sausage al almejas diablo clams pollo chicken potatoes perfect delicious sauces clams really spicy means food great expecting al favorite large shrimp goodness pretty us definitely full end meal drinks different flavors sangria friends mentioned wine sangrias dryer flavored sangrias sweeter champagne sounded delicious small mango one whether expected us small cup glass sample free definitely pitcher pitcher special goes night happy go third service reservations wanted opentable points waiting friends come friendly explained happy hour specials gave drinks order pretty haha servers glasses sangria basket bread definitely willing menu pretty went might different busier experience weekend madrid studied abroad definitely back ,awesome tapas sangria meatballs chorizo ,1,1,1,1,1,1,1
200,Negative,rice point ness let recently proportion sizes asian usually family style two different dry meat tasted threw tossed minutes nice thai sweet summer make really good mango sticky rice dessert good dish seemed drunken noodles ,point ness let recently asian ,0,0,0,0,0,0,0
269,Positive,say experiences ocean prime table birthday stepped comfortably went specials extensive chicken ratatouille kansas city eye must say best steaks lobster moment big definitely dine ,experiences prime comfortably specials extensive ,1,1,1,1,1,1,1
861,Negative,understand student university city think excellent looks perfect cozy take parents de rigueur brunch dinner bar drinks laid casual dogs food safe mediocre bread basket dates fingerling except every busy one ,understand city think looks take ,0,0,0,0,0,0,0
129,Positive,first trip philly check course went got compare say big signs lights fun care busy dont wait long classic onions whiz will say bread cheese steak super juicy flavor onions big flavor lacking mostly flavor almost close call one ,trip course compare classic cheese ,0,0,0,0,0,0,0
176,Negative,cheesesteak pilgrimage list best sister said preferred place understand non withstanding understand famous attraction pretty really claim fries asking customers speak english ludicrous bread cheese ok meat awful texture incredibly greasy come infamous intersection original across hit favorites ,cheesesteak list said place understand ,0,0,0,0,0,0,0
122,Positive,surprised negative lot touristy places cheesesteak local still favorite cheesesteak know order yes signs reviews heavily food quality always wiz cheese cheesesteaks quickly lots meat cheese roll feel huge cheesesteak prepared food coma afterwards also experience go usually cram kids greasy food usually fun also boyfriend done properly guess see rivals delicious cheesesteaks ,surprised still favorite yes always ,1,1,1,1,1,1,1
812,Negative,times sports bar back sports bar opened pretty average bordering drunk subject awful customer service business tap drinks outdoor patio away patrons come mind redirected person bistro tables side pariah sits wavered alternative finally waiter initially us said seat bar surprised even confirmed okay sure getting seats came getting said confirmed management apologetic inconsistency policy redeeming gallery school alumni photos ,times sports opened pretty average ,1,1,1,1,1,1,1
256,Positive,pork chops point avoid pork chops restaurants nine bland piece prior hitting plate dela banging chops yellow tore charred perfectly cooked hit bumps pig place small full another couple walked right behind well customers waiting place patron sipping coffee surfing web behind counter sticks laptop table company paying take situation frown web surfing got friend rotisserie chicken plantains none go think subtract right food came stuff remaining staff meal will fa sure place ,pork chops yellow charred perfectly ,1,1,1,1,1,1,1
